Weighting Option,Branch,Damping (%),Period,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10
original,3,5,4,-3.4801932600E+00,8.2126028000E-01,-2.4992828000E-01,-1.0142385200E+00,-6.1315600000E-03,5.7995000000E-04,1.7079319000E-01,6.4765689000E-01,5.4567114000E-01,1.0650681000E-01
original,4,5,4,-3.5138436400E+00,8.8772650000E-01,-2.4452417000E-01,-1.1037118500E+00,-6.2173700000E-03,5.8879000000E-04,8.0223500000E-02,7.7866720000E-01,1.2244821800E+00,-5.0693794000E-01
original,5,5,4,-5.1251029400E+00,1.1593511700E+00,-2.1151879000E-01,-1.1270554100E+00,-5.8392200000E-03,5.3695000000E-04,8.1760730000E-02,7.7893689000E-01,1.2520870700E+00,-5.1387170000E-01
original,1,5,5,-2.4914571000E+00,4.5537401000E-01,-2.9093947000E-01,-8.8188223000E-01,-6.6416300000E-03,6.8222000000E-04,2.2455104000E-01,5.9588372000E-01,4.7724600000E-02,5.4273790000E-01
original,2,5,5,-5.4426528700E+00,9.9942258000E-01,-2.3486097000E-01,-9.5368576000E-01,-6.3218400000E-03,6.4236000000E-04,3.6212383000E-01,5.3904345000E-01,1.5793322000E-01,4.5355845000E-01
original,3,5,5,-5.2629654300E+00,1.0293593400E+00,-2.2549819000E-01,-1.0648795200E+00,-6.2872500000E-03,6.4483000000E-04,2.5927821000E-01,5.9351501000E-01,5.9699017000E-01,1.4218360000E-01
original,4,5,5,-5.3970030100E+00,1.1125564200E+00,-2.1791526000E-01,-1.1577886300E+00,-6.3332700000E-03,6.5045000000E-04,1.0669019000E-01,7.4383460000E-01,1.2649235100E+00,-4.5430690000E-01
original,5,5,5,-6.9700762800E+00,1.3781147200E+00,-1.8451924000E-01,-1.1857286000E+00,-6.0309800000E-03,6.0721000000E-04,1.1123878000E-01,7.4093640000E-01,1.2984807800E+00,-4.5911313000E-01
original,1,5,7.5,-6.1256157500E+00,9.1015596000E-01,-2.4130388000E-01,-9.8545150000E-01,-6.4938400000E-03,7.2424000000E-04,3.1910874000E-01,5.6431676000E-01,1.1064524000E-01,6.5160681000E-01
original,2,5,7.5,-8.8694792100E+00,1.4258820900E+00,-1.8497373000E-01,-1.0817824800E+00,-6.2611500000E-03,6.9284000000E-04,4.3491946000E-01,5.3374221000E-01,2.4253632000E-01,5.7185760000E-01
original,3,5,7.5,-8.4746008900E+00,1.4315520000E+00,-1.7847167000E-01,-1.2057872700E+00,-6.2924300000E-03,6.9999000000E-04,3.7938997000E-01,5.5708682000E-01,7.1939891000E-01,2.3025497000E-01
original,4,5,7.5,-8.7935402400E+00,1.5446680400E+00,-1.6709596000E-01,-1.3026219500E+00,-6.2410100000E-03,6.9806000000E-04,1.3456948000E-01,7.2750175000E-01,1.3574591300E+00,-3.3640301000E-01
original,5,5,7.5,-1.0213969940E+01,1.7822309600E+00,-1.3544580000E-01,-1.3285878500E+00,-6.0442600000E-03,6.6591000000E-04,1.2073294000E-01,7.4457722000E-01,1.3882248700E+00,-3.3468015000E-01
original,1,5,10,-8.5921695500E+00,1.2533681600E+00,-2.0359689000E-01,-1.1240906100E+00,-6.1210200000E-03,7.0235000000E-04,6.2870840000E-01,4.8954314000E-01,2.0509085000E-01,7.3320088000E-01
original,2,5,10,-1.1290980380E+01,1.7311984800E+00,-1.4907495000E-01,-1.1774334700E+00,-5.9462400000E-03,6.7923000000E-04,3.5922770000E-01,5.7617169000E-01,2.7010858000E-01,6.7884801000E-01
original,3,5,10,-1.0800539330E+01,1.7213417700E+00,-1.4456116000E-01,-1.2979016700E+00,-6.0176700000E-03,6.8761000000E-04,3.1859327000E-01,5.9387065000E-01,7.5852428000E-01,3.2136597000E-01
original,4,5,10,-1.1197085030E+01,1.8486287000E+00,-1.3145088000E-01,-1.3980007500E+00,-5.9188800000E-03,6.8162000000E-04,1.1836906000E-01,7.5712087000E-01,1.3743969000E+00,-2.1969867000E-01
original,5,5,10,-1.2421073270E+01,2.0521100100E+00,-1.0329106000E-01,-1.4181754500E+00,-5.7744800000E-03,6.5422000000E-04,9.4644570000E-02,7.8917892000E-01,1.3978067500E+00,-2.1320413000E-01
updated,1,5,0.01,1.0094352230E+01,1.8205341000E-01,-1.7214773000E-01,-2.9100686800E+00,-7.3825800000E-03,8.8950000000E-04,1.3260316680E+01,1.6453850000E-01,1.7020449400E+00,-7.0469900000E-01
updated,2,5,0.01,5.5258540200E+00,2.2833440000E-01,-1.7032961000E-01,-1.7471905000E+00,-6.8192900000E-03,7.9272000000E-04,2.3335297600E+00,3.5259627000E-01,7.7800213000E-01,-9.3435407000E-01
updated,3,5,0.01,5.8084978500E+00,2.5129507000E-01,-1.6336418000E-01,-1.7897367400E+00,-6.7376800000E-03,8.0950000000E-04,2.1806997000E+00,3.6362092000E-01,9.4888412000E-01,-1.0747286900E+00
updated,4,5,0.01,6.7585154800E+00,2.8548883000E-01,-1.5925667000E-01,-2.0014356000E+00,-6.7309800000E-03,7.7173000000E-04,3.5620244400E+00,3.0029027000E-01,1.1402962400E+00,-1.0416580000E+00
updated,5,5,0.01,8.1966146800E+00,4.6550137000E-01,-1.2824700000E-01,-2.5716610700E+00,-4.8589800000E-03,5.3653000000E-04,6.3470781600E+00,2.3952817000E-01,1.4860585400E+00,-9.5330383000E-01
updated,1,5,0.025,1.1537429350E+01,1.7123595000E-01,-1.7497679000E-01,-3.1947383300E+00,-7.0703300000E-03,8.8157000000E-04,1.4952692630E+01,1.5301697000E-01,1.7410414100E+00,-5.7573034000E-01
updated,2,5,0.025,5.1543830400E+00,2.3123480000E-01,-1.6574346000E-01,-1.6555294800E+00,-6.7450200000E-03,8.2790000000E-04,1.5748952400E+00,4.0018730000E-01,6.9644570000E-01,-1.0569317400E+00
updated,3,5,0.025,6.7258302400E+00,2.9160259000E-01,-1.5222428000E-01,-2.0597748700E+00,-6.6093100000E-03,8.4792000000E-04,3.5810467600E+00,3.0379179000E-01,1.0976693500E+00,-1.1234624200E+00
updated,4,5,0.025,6.0089419300E+00,3.2943668000E-01,-1.4164319000E-01,-1.8745693600E+00,-6.8421100000E-03,8.6154000000E-04,2.0499394600E+00,3.6493012000E-01,9.5039654000E-01,-1.1741459000E+00
